Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,195266156,2505.1657571383935,3988502,51.17045799108161,614012,4180161,53.62934576601889,60706,0.7788271944721611,8537,
United States of America,Americas,34391413,10390.07,562535,169.95,135158,606263,183.16,2011,0.61,483
India,South-East Asia,31484605,2281.49,268268,19.44,43654,422022,30.58,3542,0.26,640
Brazil,Americas,19707662,9271.6,315817,148.58,18999,550502,258.99,7746,3.64,578
Russian Federation,Europe,6195232,4245.22,164992,113.06,22420,156178,107.02,5473,3.75,798
France,Europe,5900396,9072.04,130094,200.02,24127,110682,170.18,148,0.23,26
The United Kingdom,Europe,5745530,8463.5,225924,332.8,23228,129303,190.47,480,0.71,131
Turkey,Europe,5638178,6685.13,92012,109.1,19761,51048,60.53,398,0.47,51
Argentina,Americas,4859170,10751.38,90028,199.2,12555,104105,230.34,2150,4.76,384
Colombia,Americas,4736349,9308.33,80428,158.06,8503,119182,234.23,2429,4.77,314
Spain,Europe,4368453,9229.27,157150,332.01,13508,81323,171.81,138,0.29,5
Italy,Europe,4325046,7251.74,31963,53.59,4516,127995,214.61,111,0.19,24
Germany,Europe,3761169,4522.45,12556,15.1,2768,91586,110.12,170,0.2,21
Iran (Islamic Republic of),Eastern Mediterranean,3758197,4474.42,182049,216.74,34951,89479,106.53,1855,2.21,357
Indonesia,South-East Asia,3287727,1201.99,303897,111.1,47791,88659,32.41,11076,4.05,1824
Poland,Europe,2882465,7593.8,747,1.97,138,75252,198.25,30,0.08,3
Mexico,Americas,2754438,2136.34,89994,69.8,5920,238595,185.05,2126,1.65,171
South Africa,Africa,2391223,4031.83,79991,134.87,7733,70388,118.68,2712,4.57,370
Ukraine,Europe,2250061,5144.91,4131,9.45,717,52891,120.94,122,0.28,15
Peru,Americas,2105005,6384.25,10560,32.03,611,195973,594.36,730,2.21,83
Netherlands,Europe,1851329,10635.19,37343,214.52,4042,17804,102.28,21,0.12,3
Czechia,Europe,1673017,15644.53,1332,12.46,253,30362,283.92,20,0.19,0
Chile,Americas,1611090,8427.88,9232,48.29,745,35151,183.88,582,3.04,32
Iraq,Eastern Mediterranean,1577013,3920.72,66496,165.32,12185,18418,45.79,467,1.16,71
Philippines,Western Pacific,1562420,1425.81,44531,40.64,7186,27318,24.93,474,0.43,71
Canada,Americas,1427342,3781.82,3453,9.15,1127,26553,70.35,49,0.13,6
Bangladesh,South-East Asia,1210982,735.31,74479,45.22,16230,20016,12.15,1518,0.92,237
Belgium,Europe,1119030,9711.75,7133,61.91,0,25230,218.96,15,0.13,0
Sweden,Europe,1098154,10633.21,2908,28.16,901,14655,141.9,1,0.01,0
Romania,Europe,1082710,5601.53,835,4.32,159,34274,177.32,11,0.06,1
Malaysia,Western Pacific,1044071,3225.83,104172,321.86,16117,8404,25.97,1163,3.59,203
Pakistan,Eastern Mediterranean,1011708,458.01,17836,8.07,3262,23087,10.45,239,0.11,39
Portugal,Europe,956985,9294.81,21739,211.14,2316,17307,168.1,88,0.85,6
Japan,Western Pacific,882823,698.01,35209,27.84,7317,15151,11.98,72,0.06,14
Israel,Europe,865877,10003.73,9954,115,2197,6460,74.63,3,0.03,0
Hungary,Europe,809362,8284.56,417,4.27,74,30025,307.33,6,0.06,4
Jordan,Eastern Mediterranean,767327,7520.5,4907,48.09,1213,9979,97.8,63,0.62,8
Serbia,Europe,720643,10403.84,1637,23.63,290,7108,102.62,20,0.29,3
Switzerland,Europe,712086,8227.82,3945,45.58,3,10334,119.4,4,0.05,0
Nepal,South-East Asia,688307,2362.33,15436,52.98,2634,9791,33.6,154,0.53,33
United Arab Emirates,Eastern Mediterranean,674724,6822.01,10697,108.16,1539,1929,19.5,25,0.25,2
Austria,Europe,652568,7331.35,2573,28.91,404,10531,118.31,8,0.09,4
Kazakhstan,Europe,609646,3246.82,40731,216.92,0,9077,48.34,539,2.87,0
Morocco,Eastern Mediterranean,588448,1594.25,26032,70.53,6971,9638,26.11,152,0.41,27
Tunisia,Eastern Mediterranean,578962,4898.73,24051,203.5,3960,19027,160.99,1206,10.2,59
Lebanon,Eastern Mediterranean,557145,8162.76,5356,78.47,1502,7895,115.67,8,0.12,1
Thailand,South-East Asia,543361,778.45,103884,148.83,16533,4397,6.3,787,1.13,133
Saudi Arabia,Eastern Mediterranean,520774,1495.88,8632,24.79,1379,8189,23.52,86,0.25,10
Ecuador,Americas,482947,2737.32,5001,28.35,0,31426,178.12,682,3.87,0
Greece,Europe,482145,4498.22,18672,174.2,4170,12911,120.45,44,0.41,8
Bolivia (Plurinational State of),Americas,469182,4019.37,6057,51.89,759,17672,151.39,197,1.69,21
Paraguay,Americas,449902,6307.74,4337,60.81,561,14701,206.11,361,5.06,48
Belarus,Europe,441881,4676.33,6261,66.26,525,3413,36.12,69,0.73,10
Panama,Americas,430444,9976.07,7078,164.04,495,6768,156.86,58,1.34,9
Bulgaria,Europe,424079,6100.56,856,12.31,200,18203,261.86,19,0.27,4
Georgia,Europe,410830,10298.62,17470,437.94,3141,5751,144.17,133,3.33,20
Costa Rica,Americas,401188,7875.51,8407,165.03,614,4981,97.78,75,1.47,15
Kuwait,Eastern Mediterranean,394538,9238.53,6626,155.15,933,2298,53.81,51,1.19,5
Slovakia,Europe,392488,7191.23,303,5.55,82,12534,229.65,0,0,0
Uruguay,Americas,380584,10956.06,1512,43.53,153,5936,170.88,47,1.35,5
Croatia,Europe,363039,8945.89,1089,26.83,198,8249,203.27,5,0.12,2
Guatemala,Americas,355223,1982.76,17461,97.46,2639,10176,56.8,171,0.95,64
Cuba,Americas,349055,3081.72,54606,482.1,7903,2492,22,473,4.18,75
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,345169,6766.14,567,11.11,139,3869,75.84,12,0.24,1
Azerbaijan,Europe,341183,3365,2346,23.14,468,5011,49.42,17,0.17,1
Dominican Republic,Americas,340498,3138.84,2523,23.26,268,3945,36.37,17,0.16,8
Denmark,Europe,312851,5372.9,5087,87.36,559,2546,43.72,4,0.07,3
Venezuela (Bolivarian Republic of),Americas,300919,1058.23,7053,24.8,1097,3509,12.34,117,0.41,17
Sri Lanka,South-East Asia,299892,1400.5,10315,48.17,0,4138,19.32,278,1.3,0
Ireland,Europe,295386,5950.04,8695,175.15,1114,5026,101.24,8,0.16,0
Oman,Eastern Mediterranean,295017,5777.14,5975,117,491,3788,74.18,290,5.68,17
Honduras,Americas,290447,2932.44,8843,89.28,3812,7650,77.24,168,1.7,56
Myanmar,South-East Asia,284099,522.15,37436,68.8,4980,8210,15.09,2396,4.4,365
Egypt,Eastern Mediterranean,284090,277.61,277,0.27,31,16498,16.12,41,0.04,4
Lithuania,Europe,281629,10079.45,1536,54.97,345,4412,157.9,7,0.25,1
Ethiopia,Africa,278920,242.62,1043,0.91,203,4374,3.8,15,0.01,3
Bahrain,Eastern Mediterranean,268731,15793.07,704,41.37,105,1383,81.28,3,0.18,0
Slovenia,Europe,258864,12351.2,465,22.19,85,4761,227.16,0,0,0
Republic of Moldova,Europe,258852,6416.82,756,18.74,139,6247,154.86,18,0.45,2
Libya,Eastern Mediterranean,240309,3497.29,13608,198.04,3348,3422,49.8,113,1.64,24
Armenia,Europe,229370,7740.53,1434,48.39,280,4597,155.13,24,0.81,0
Qatar,Eastern Mediterranean,225522,7827.76,1012,35.13,146,600,20.83,1,0.03,0
Bosnia and Herzegovina,Europe,205523,6264.39,183,5.58,28,9686,295.23,17,0.52,9
Kenya,Africa,198935,369.97,5128,9.54,976,3882,7.22,82,0.15,10
Republic of Korea,Western Pacific,193427,377.28,11166,21.78,1896,2083,4.06,23,0.04,4
Zambia,Africa,192956,1049.59,5354,29.12,640,3316,18.04,178,0.97,21
Nigeria,Africa,171728,83.31,1844,0.89,404,2134,1.04,6,0,0
Algeria,Africa,165204,376.74,10718,24.44,1544,4112,9.38,156,0.36,25
Kyrgyzstan,Europe,160085,2453.71,7376,113.06,996,2288,35.07,83,1.27,13
Mongolia,Western Pacific,159101,4853.17,7871,240.09,1127,789,24.07,40,1.22,7
North Macedonia,Europe,156124,7493.78,173,8.3,38,5491,263.56,3,0.14,0
Afghanistan,Eastern Mediterranean,145552,373.9,2790,7.17,544,6577,16.9,284,0.73,62
Puerto Rico,Americas,144321,5044.68,2228,77.88,121,2569,89.8,7,0.24,1
Latvia,Europe,138572,7263.92,334,17.51,68,2552,133.78,5,0.26,2
Norway,Europe,136369,2540.6,1594,29.7,273,799,14.89,0,0,0
Albania,Europe,132922,4618.88,182,6.32,31,2456,85.34,0,0,0
Estonia,Europe,132897,9999.95,838,63.06,180,1271,95.64,0,0,0
Uzbekistan,Europe,126627,378.34,5298,15.83,843,853,2.55,43,0.13,8
China,Western Pacific,120399,8.18,562,0.04,104,5635,0.38,14,0,1
Namibia,Africa,117293,4616.19,3855,151.72,329,2871,112.99,314,12.36,37
Viet Nam,Western Pacific,117121,120.32,51514,52.92,8010,524,0.54,190,0.2,0
Mozambique,Africa,113426,362.9,11417,36.53,1703,1341,4.29,183,0.59,34
Kosovo[1],Europe,108030,6016.15,152,8.46,42,2255,125.58,0,0,0
Finland,Europe,104495,1891.21,3269,59.16,644,978,17.7,0,0,0
Ghana,Africa,102569,330.09,2835,9.12,466,823,2.65,6,0.02,0
Botswana,Africa,102124,4342.7,10222,434.68,0,1485,63.15,157,6.68,0
Zimbabwe,Africa,101711,684.33,13296,89.46,1767,3280,22.07,533,3.59,107
Montenegro,Europe,101341,16135.51,486,77.38,0,1627,259.05,3,0.48,0
Cyprus,Europe,99360,11189.13,6113,688.4,791,410,46.17,19,2.14,6
Uganda,Africa,92795,202.87,1885,4.12,71,2590,5.66,178,0.39,11
El Salvador,Americas,85779,1322.48,2927,45.13,1088,2577,39.73,69,1.06,10
Cameroon,Africa,82064,309.14,597,2.25,0,1334,5.03,4,0.02,0
Maldives,South-East Asia,76953,14236.21,621,114.88,0,220,40.7,2,0.37,0
Cambodia,Western Pacific,74386,444.92,5590,33.44,685,1324,7.92,175,1.05,19
Luxembourg,Europe,73637,11761.07,563,89.92,86,822,131.29,1,0.16,0
Rwanda,Africa,64706,499.57,5565,42.97,969,771,5.95,94,0.73,14
Singapore,Western Pacific,64453,1101.7,1013,17.32,139,37,0.63,1,0.02,0
Senegal,Africa,58523,349.52,4950,29.56,642,1300,7.76,64,0.38,14
Jamaica,Americas,52141,1760.83,859,29.01,52,1179,39.82,21,0.71,1
Malawi,Africa,49752,260.07,5068,26.49,743,1540,8.05,177,0.93,27
Côte d’Ivoire,Africa,49699,188.41,411,1.56,52,326,1.24,4,0.02,2
Democratic Republic of the Congo,Africa,48768,54.45,2043,2.28,265,1023,1.14,5,0.01,0
Madagascar,Africa,42677,154.12,56,0.2,8,945,3.41,4,0.01,1
Angola,Africa,42110,128.13,1049,3.19,231,994,3.02,24,0.07,3
Trinidad and Tobago,Americas,37663,2691.2,1465,104.68,109,1043,74.53,45,3.22,4
Réunion,Africa,37231,4158.44,2616,292.19,2616,275,30.72,9,1.01,9
Sudan,Eastern Mediterranean,37138,84.69,0,0,0,2776,6.33,0,0,0
